Timestamp;DateTime;Name;Status;Free;Total
2017/10/16 11:31:11.744;2017-10-16T10:59:56;CDGA;Closed;9;100
2017/10/16 11:31:11.749;2017-10-16T10:54:39;VICA;Open;65;100
2017/10/16 11:31:11.751;2017-10-16T11:02:57;ANTI;Open;234;350
2017/10/16 11:31:11.753;2017-10-16T11:04:52;ARCT;Open;166;451
2017/10/16 11:31:11.756;2017-10-16T11:02:55;CIRC;Open;699;1200
2017/10/16 11:31:11.758;2017-10-16T11:02:55;COME;Open;380;830
2017/10/16 11:31:11.761;2017-10-16T11:02:57;CORU;Open;217;400
2017/10/16 11:31:11.762;2017-10-16T11:02:57;EURO;Open;314;600
2017/10/16 11:31:11.764;2017-10-16T11:04:50;FOCH;Open;194;580
2017/10/16 11:31:11.766;2017-10-16T11:02:59;GAMB;Open;105;400
2017/10/16 11:31:11.769;2017-10-16T11:08:57;GARD;Open;204;400
2017/10/16 11:31:11.770;2017-10-16T10:42:02;GARE;Open;148;659
2017/10/16 11:31:11.772;2017-10-16T11:00:57;MEDC;Open;112;350
2017/10/16 11:31:11.774;2017-10-16T11:08:12;MOSS;Open;203;420
2017/10/16 11:31:11.777;2017-10-16T10:59:53;OCCI;Open;68;620
2017/10/16 11:31:11.779;2017-10-16T11:02:09.978;Pitot;Open;355;583
2017/10/16 11:31:11.781;2017-10-16T11:01:58;SABI;Open;7;300
2017/10/16 11:31:11.782;2017-10-16T10:59:56;SABL;Open;73;361
2017/10/16 11:31:11.785;2017-10-16T11:02:09.936;Triangle;Open;155;436
2017/10/16 11:31:11.787;2017-10-16T10:59:52;SJLC;Open;134;280
2017/10/16 11:43:03.367;2017-10-16T11:39:51;CDGA;Closed;12;100
2017/10/16 11:43:03.369;2017-10-16T11:29:35;VICA;Open;60;100
2017/10/16 11:43:03.371;2017-10-16T11:38:55;ANTI;Open;234;350
2017/10/16 11:43:03.373;2017-10-16T11:44:50;ARCT;Open;162;451
2017/10/16 11:43:03.374;2017-10-16T11:37:54;CIRC;Open;678;1200
2017/10/16 11:43:03.375;2017-10-16T11:38:56;COME;Open;382;830
2017/10/16 11:43:03.376;2017-10-16T11:38:54;CORU;Open;211;400
2017/10/16 11:43:03.377;2017-10-16T11:38:50;EURO;Open;316;600
2017/10/16 11:43:03.379;2017-10-16T11:39:50;FOCH;Open;186;580
2017/10/16 11:43:03.380;2017-10-16T11:38:55;GAMB;Open;106;400
2017/10/16 11:43:03.381;2017-10-16T11:48:51;GARD;Open;202;400
2017/10/16 11:43:03.383;2017-10-16T10:42:02;GARE;Open;148;659
2017/10/16 11:43:03.384;2017-10-16T11:40:58;MEDC;Open;111;350
2017/10/16 11:43:03.385;2017-10-16T11:48:14;MOSS;Open;197;420
2017/10/16 11:43:03.386;2017-10-16T11:39:55;OCCI;Open;54;620
2017/10/16 11:43:03.388;2017-10-16T11:41:09.883;Pitot;Open;355;583
2017/10/16 11:43:03.389;2017-10-16T11:41:53;SABI;Open;8;300
2017/10/16 11:43:03.391;2017-10-16T11:39:51;SABL;Open;73;361
2017/10/16 11:43:03.392;2017-10-16T11:41:09.798;Triangle;Open;162;436
2017/10/16 11:43:03.394;2017-10-16T11:39:58;SJLC;Open;132;280
