course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268435724;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;17:33:17;0;204;41101
268436441;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;17:33:58;0;245;41101
268435755;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;17:38:43;0;530;41101
268436430;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;17:32:28;0;155;41101
268435693;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;17:36:03;0;370;41101
268435647;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;17:41:42;0;709;41101
268435616;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;17:34:24;0;271;41101
268435566;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;17:38:13;0;500;41101
268436430;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;17:40:40;0;647;41101
268435647;COMEDRTW;41223;COMEDIE;1;MOSSON;1;17:30:29;0;36;41101
268435789;COMEDRTW;41223;COMEDIE;1;MOSSON;1;17:32:15;0;142;41101
268435724;COMEDRTW;41223;COMEDIE;1;MOSSON;1;17:39:42;0;589;41101
268435647;CORUMRTW;41225;CORUM T1;1;MOSSON;1;17:34:29;0;276;41101
268435789;CORUMRTW;41225;CORUM T1;1;MOSSON;1;17:36:11;0;378;41101
268435724;CORUMRTW;41225;CORUM T1;1;MOSSON;1;17:43:42;0;829;41101
268435724;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;17:35:39;0;346;41101
268436441;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;17:36:41;0;408;41101
268435755;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;17:41:33;0;700;41101
268436304;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;17:30:41;0;48;41101
268435522;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;17:33:39;0;226;41101
268435616;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;17:38:24;0;511;41101
268435789;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;17:30:11;0;18;41101
268435724;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;17:37:42;0;469;41101
268436441;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;17:38:44;0;531;41101
268436407;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;17:31:26;0;93;41101
268436304;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;17:35:35;0;342;41101
268435522;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;17:38:41;0;528;41101
268436304;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;17:32:41;0;168;41101
268435522;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;17:35:58;0;365;41101
268435616;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;17:40:24;0;631;41101
268435616;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;17:30:55;0;62;41101
268435566;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;17:35:11;0;318;41101
268436430;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;17:37:31;0;458;41101
268435724;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;17:31:41;0;108;41101
268436441;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;17:32:43;0;170;41101
268435755;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;17:37:35;0;462;41101
268435693;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;17:30:51;0;58;41101
268435647;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;17:36:12;0;379;41101
268435789;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;17:38:19;0;506;41101
268435522;MALBORTW;41245;MALBOSC;1;MOSSON;1;17:31:44;0;111;41101
268435616;MALBORTW;41245;MALBOSC;1;MOSSON;1;17:36:24;0;391;41101
268435566;MALBORTW;41245;MALBOSC;1;MOSSON;1;17:39:56;0;603;41101
268435855;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;17:34:44;1;291;41101
268436464;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;17:38:44;0;531;41101
268435900;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;17:42:44;1;771;41101
268435820;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;17:31:30;0;97;41101
268435855;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;17:36:31;1;398;41101
268436464;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;17:40:31;0;638;41101
268435755;MOULARTW;41209;MOULARES;1;MOSSON;1;17:31:55;0;122;41101
268435820;MOULARTW;41209;MOULARES;1;MOSSON;1;17:34:48;0;295;41101
268435855;MOULARTW;41209;MOULARES;1;MOSSON;1;17:39:49;1;596;41101
268435616;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;17:32:24;0;151;41101
268435566;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;17:36:24;0;391;41101
268436430;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;17:38:45;0;532;41101
