service_id,date,exception_type
10-TR1,20171027,2
10-TR1,20171103,2
1-TR1,20171023,2
1-TR1,20171024,2
1-TR1,20171025,2
1-TR1,20171026,2
1-TR1,20171030,2
1-TR1,20171031,2
1-TR1,20171101,2
1-TR1,20171102,2
2-TR1,20171023,1
2-TR1,20171024,1
2-TR1,20171025,1
2-TR1,20171026,1
2-TR1,20171030,1
2-TR1,20171031,1
2-TR1,20171102,1
3-TR1,20171023,1
3-TR1,20171024,1
3-TR1,20171025,1
3-TR1,20171026,1
3-TR1,20171027,1
3-TR1,20171030,1
3-TR1,20171031,1
3-TR1,20171102,1
3-TR1,20171103,1
4-TR1,20171101,1
5-TR1,20171027,1
5-TR1,20171103,1
7-TR1,20171023,2
7-TR1,20171024,2
7-TR1,20171025,2
7-TR1,20171026,2
7-TR1,20171027,2
7-TR1,20171030,2
7-TR1,20171031,2
7-TR1,20171101,2
7-TR1,20171102,2
7-TR1,20171103,2
8-TR1,20171025,2
8-TR1,20171101,2
9-TR1,20171023,2
9-TR1,20171024,2
9-TR1,20171026,2
9-TR1,20171027,2
9-TR1,20171030,2
9-TR1,20171031,2
9-TR1,20171102,2
9-TR1,20171103,2
