stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
S5382,5382,Appel du 18 Juin,43.63654684,3.83020264,1,
546,16202,Appel du 18 Juin,43.63654684,3.83020264,0,S5382
S5603,5603,Place Albert 1er - Saint-Charles,43.61644935,3.87424604,1,
1143,41127,Place Albert 1er - Saint-Charles,43.61644935,3.87424604,0,S5603
1174,41229,Place Albert 1er - Saint-Charles,43.61640389,3.87428193,0,S5603
S5400,5400,Catalpas,43.59281459,3.88377682,1,
520,12215,Catalpas,43.59281459,3.88377682,0,S5400
S5175,5175,Caylus,43.64585807,3.89852271,1,
1058,36141,Caylus,43.64585807,3.89852271,0,S5175
1095,36241,Caylus,43.64673969,3.89910394,0,S5175
S5268,5268,Cave Coopérative,43.64722038,3.80038625,1,
786,24108,Cave Coopérative,43.64722038,3.80038625,0,S5268
802,24206,Cave Coopérative,43.64671869,3.80158661,0,S5268
S5705,5705,Cave Coopérative,43.69444401,3.86232258,1,
746,23120,Cave Coopérative,43.69444401,3.86232258,0,S5705
S5745,5745,Centre Commercial,43.57063266,3.84724812,1,
858,26103,Centre Commercial,43.57063266,3.84724812,0,S5745
865,26206,Centre Commercial,43.57050323,3.84686143,0,S5745
S5177,5177,Charles de Gaulle,43.62823785,3.89665467,1,
419,10150,Charles de Gaulle,43.62823785,3.89665467,0,S5177
454,10246,Charles de Gaulle,43.62807734,3.89656365,0,S5177
1013,35110,Charles de Gaulle,43.62832981,3.89775865,0,S5177
1024,35210,Charles de Gaulle,43.62839396,3.89767378,0,S5177
1211,42151,Charles de Gaulle,43.62855518,3.89771531,0,S5177
1227,42219,Charles de Gaulle,43.62857369,3.89767869,0,S5177
1364,36143,Charles de Gaulle,43.62839396,3.89767378,0,S5177
S5401,5401,Celleneuve,43.61603788,3.82589254,1,
405,10119,Celleneuve,43.61603788,3.82589254,0,S5401
431,10201,Celleneuve,43.61597566,3.82584143,0,S5401
1251,43105,Celleneuve,43.61536339,3.82591208,0,S5401
1296,43253,Celleneuve,43.61560619,3.82590603,0,S5401
S5402,5402,Centrayrargues,43.59682233,3.88074356,1,
517,12210,Centrayrargues,43.59682233,3.88074356,0,S5402
S5176,5176,Centurions,43.63279798,3.9157162,1,
1214,42157,Centurions,43.63279798,3.9157162,0,S5176
1224,42213,Centurions,43.63282512,3.91570457,0,S5176
S5328,5328,Céreirède,43.58121717,3.89822771,1,
548,17102,Céreirède,43.58121717,3.89822771,0,S5328
559,17220,Céreirède,43.58131262,3.89846528,0,S5328
S5837,5837,Albert 1er - Cathédrale,43.61477524,3.87375554,1,
1430,44102,Albert 1er - Cathédrale,43.61477524,3.87375554,0,S5837
1436,44202,Albert 1er - Cathédrale,43.61480343,3.87366969,0,S5837
S5403,5403,Cervantès,43.62214972,3.85508267,1,
249,07109,Cervantès,43.62214972,3.85508267,0,S5403
294,07222,Cervantès,43.62290426,3.85448399,0,S5403
S5155,5155,Collège Le Bérange,43.66734133,4.02339175,1,
906,29111,Collège Le Bérange,43.66734133,4.02339175,0,S5155
914,29201,Collège Le Bérange,43.66733177,4.02342862,0,S5155
S5404,5404,Cévennes,43.62210151,3.84632017,1,
81,03130,Cévennes,43.62210151,3.84632017,0,S5404
92,03203,Cévennes,43.62202201,3.84621908,0,S5404
S5164,5164,Paul Cézanne,43.65997387,4.00685277,1,
901,29106,Paul Cézanne,43.65997387,4.00685277,0,S5164
920,29207,Paul Cézanne,43.65910906,4.00579966,0,S5164
S5415,5415,Cité Gély,43.6048637,3.85948499,1,
124,04112,Cité Gély,43.6048637,3.85948499,0,S5415
158,04229,Cité Gély,43.60466363,3.85900956,0,S5415
S5405,5405,Chambéry,43.59932734,3.88912375,1,
308,08105,Chambéry,43.59932734,3.88912375,0,S5405
336,08220,Chambéry,43.59887762,3.88976712,0,S5405
