Date;Time;Vehicule_No;Vehicule_Etat;Ligne_No;Ligne_Destination;Course_No;Arret_StopID;Arret_Mnemol;Arret_Nom;Horaire;Vehicule_Latitude;Vehicule_Longitude;Vehicule_Cap;Indicateur_Avance;Indicateur_Retard
10/11/2017 00:00:00;17:29:55;213;LIGN;11;LES BOUISSES;268438928;1104;GAMBETTS;GAMBETTA;17:30:11;1846157;724175;306;00:00:00;00:05:02
10/11/2017 00:00:00;17:29:55;172;LIGN;10;CELLENEUVE;268438668;1112;TONNELLA;TONNELLES;17:32:48;1847225;721626;229;00:00:00;00:00:25
10/11/2017 00:00:00;17:29:55;193;LIGN;19;COUBERTIN;268439871;1125;HTMASSAS;HAUTS DE MASSANE;17:29:44;1849386;720083;39;00:00:00;00:06:44
10/11/2017 00:00:00;17:29:55;170;LIGN;19;H. DEPARTEMENT;268439929;1203;COMTENIE;COMTE DE NICE;17:30:00;1849528;719252;357;00:00:00;00:00:28
10/11/2017 00:00:00;17:29:55;101;LIGN;6;PAS DU LOUP;268438027;1235;STDENIE1;SAINT-DENIS;17:30:37;1846163;724146;210;00:00:00;00:06:38
10/11/2017 00:00:00;17:29:55;221;LIGN;6;PAS DU LOUP;268438035;1235;STDENIE1;SAINT-DENIS;17:31:53;1846372;724231;141;00:01:07;00:00:00
10/11/2017 00:00:00;17:29:55;160;LIGN;7;LA MARTELLE;268439361;1235;STDENIE1;SAINT-DENIS;17:29:41;1846080;724259;150;00:00:00;00:04:45
10/11/2017 00:00:00;17:29:55;154;LIGN;11;TOURNEZY;268438875;1235;STDENIE1;SAINT-DENIS;17:29:30;1846080;724261;153;00:00:17;00:00:00
10/11/2017 00:00:00;17:29:55;166;LIGN;6;EUROMEDECINE;268438067;1236;ANATOLEE;ANATOLE FRANCE;17:31:02;1846040;724393;90;00:00:06;00:00:00
10/11/2017 00:00:00;17:29:55;161;LIGN;6;EUROMEDECINE;268438019;2126;GANGESS;ROUTE DE GANGES;17:30:28;1850005;722019;298;00:00:00;00:03:12
10/11/2017 00:00:00;17:29:55;231;LIGN;7;H. DEPARTEMENT;268438309;2133;OBSERVSN;OBSERVATOIRE;17:29:41;1846187;724473;277;00:00:00;00:01:22
10/11/2017 00:00:00;17:29:55;226;LIGN;11;LES BOUISSES;268438867;2133;OBSERVSN;OBSERVATOIRE;17:29:32;1846178;724491;230;00:00:33;00:00:00
10/11/2017 00:00:00;17:29:55;216;LIGN;6;EUROMEDECINE;268438082;2202;EUROMEDE;EUROMEDECINE;17:30:36;1849815;720582;229;00:00:00;00:05:36
10/11/2017 00:00:00;17:29:55;222;TARR;11;TOURNEZY;268438905;3101;TOURNEZY;TOURNEZY;17:29:44;1843221;724786;230;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;139;LIGN;11;LES BOUISSES;268438949;3104;MARGAREE;MARCHE GARE;17:29:45;1843694;725236;116;00:00:00;00:01:17
10/11/2017 00:00:00;17:29:55;208;LIGN;11;LES BOUISSES;268438885;3107;GLORCAE;GARCIA LORCA;17:29:42;1844500;725636;0;00:00:00;00:04:42
10/11/2017 00:00:00;17:29:55;120;LIGN;7;H. DEPARTEMENT;268438331;3118;STROCHS;SAINT-ROCH;17:29:44;1847068;723891;41;00:00:00;00:03:12
10/11/2017 00:00:00;17:29:55;175;LIGN;10;AIGUELONGUE;268438686;3118;STROCHS;SAINT-ROCH;17:29:43;1847072;723894;41;00:00:00;00:02:38
10/11/2017 00:00:00;17:29:55;201;LIGN;7;H. DEPARTEMENT;268438318;3120;MAISSPOS;MAISON SPORTS;17:30:25;1847481;723492;272;00:00:00;00:07:52
