Timestamp;nature;identifier;latitude;longitude;available;free;total;credit_card
2017/10/16 10:28:03.272000000;1 Rue Jules Ferry - Gare Saint-Roch;1;43.605366;3.881346;1;15;16;1
2017/10/16 10:28:03.276000000;2 Comédie;2;43.608148;3.878778;15;9;24;1
2017/10/16 10:28:03.277000000;3 Esplanade;3;43.609478;3.881293;13;19;32;1
2017/10/16 10:28:03.278000000;4 Hôtel de Ville;4;43.599088;3.894866;14;2;16;1
2017/10/16 10:28:03.279000000;5 Corum;5;43.613989;3.881600;3;13;16;1
2017/10/16 10:28:03.281000000;6 Place Albert 1er - St Charles;6;43.616768;3.873375;2;22;24;1
2017/10/16 10:28:03.282000000;7 Foch;7;43.610989;3.873345;2;6;8;
2017/10/16 10:28:03.283000000;8 Halles Castellane;8;43.609935;3.877208;7;9;16;
2017/10/16 10:28:03.284000000;9 Observatoire;9;43.606081;3.876931;0;8;8;1
2017/10/16 10:28:03.285000000;10 Rondelet;10;43.603038;3.875796;1;15;16;1
2017/10/16 10:28:03.286000000;11 Plan Cabanes;11;43.608491;3.868389;4;8;12;1
2017/10/16 10:28:03.287000000;12 Boutonnet;12;43.622629;3.868375;2;10;12;1
2017/10/16 10:28:03.288000000;13 Emile Combes;13;43.616742;3.879980;3;5;8;
2017/10/16 10:28:03.289000000;14 Beaux-Arts;14;43.616698;3.884981;6;2;8;
2017/10/16 10:28:03.290000000;15 Les Aubes;15;43.618692;3.893844;0;8;8;
2017/10/16 10:28:03.291000000;16 Antigone centre;16;43.607942;3.890634;11;5;16;1
2017/10/16 10:28:03.292000000;17 Médiathèque Emile Zola;17;43.608218;3.893140;12;4;16;1
2017/10/16 10:28:03.293000000;18 Nombre d'Or;18;43.607859;3.886644;9;7;16;1
2017/10/16 10:28:03.294000000;19 Louis Blanc;19;43.614642;3.877648;1;15;16;1
2017/10/16 10:28:03.295000000;20 Gambetta;20;43.607106;3.870693;1;7;8;
2017/10/16 10:28:03.296000000;21 Port Marianne;21;43.600320;3.898510;8;8;16;1
2017/10/16 10:28:03.298000000;22 Clemenceau;22;43.603539;3.872394;0;12;12;
2017/10/16 10:28:03.299000000;23 Les Arceaux;23;43.611991;3.867157;1;15;16;1
2017/10/16 10:28:03.300000000;24 Cité Mion;24;43.601143;3.884373;5;3;8;
2017/10/16 10:28:03.301000000;25 Nouveau Saint-Roch;25;43.599817;3.875757;0;8;8;
2017/10/16 10:28:03.302000000;26 Renouvier;26;43.603553;3.867884;1;7;8;
2017/10/16 10:28:03.302000000;27 Odysseum;27;43.603727;3.918979;0;8;8;1
2017/10/16 10:28:03.302000000;28 Saint-Denis;28;43.605021;3.875065;4;4;8;
2017/10/16 10:28:03.302000000;29 Richter;29;43.603424;3.899263;9;7;16;1
2017/10/16 10:28:03.302000000;30 Charles Flahault;30;43.618762;3.865971;7;1;8;
2017/10/16 10:28:03.302000000;31 Voltaire;31;43.603767;3.888659;5;3;8;
2017/10/16 10:28:03.302000000;32 Prés d'Arènes;32;43.590480;3.884611;7;1;8;
2017/10/16 10:28:03.302000000;33 Garcia Lorca;33;43.590757;3.890616;5;3;8;
2017/10/16 10:28:03.302000000;34 Vert Bois;34;43.634580;3.868230;1;7;8;
2017/10/16 10:28:03.302000000;35 Malbosc;35;43.633679;3.832861;5;3;8;
